rank,tickers,ema_fast,ema_slow,width,max_cost,tp,sl,entry,exit,n_trades,win_rate,final_bal,IS_ret_%,OOS_ret_%
1,"QQQ,NVDA",5,26,5.0,50.0,0.6,0.5,10:00,14:30,78,29.5,1486.6,395.5,
2,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.8,0.6,10:00,15:00,78,38.5,1454.95,385.0,
3,"QQQ,NVDA",5,26,5.0,50.0,0.7,0.5,10:00,14:30,78,29.5,1449.42,383.1,
4,"QQQ,NVDA",5,26,5.0,50.0,0.8,0.5,10:00,14:30,78,29.5,1439.78,379.9,
5,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.5,09:45,15:30,78,32.1,1426.33,375.4,
6,"QQQ,NVDA",5,26,5.0,50.0,0.9,0.5,10:00,14:30,78,29.5,1423.7,374.6,
7,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.7,0.6,10:00,15:30,78,33.3,1405.26,368.4,
8,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.9,0.6,10:00,15:00,78,38.5,1400.14,366.7,
9,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.7,0.5,10:00,15:30,78,32.1,1383.72,361.2,
10,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.6,09:45,15:30,78,33.3,1373.53,357.8,
11,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.6,09:45,15:00,78,35.9,1372.24,357.4,
12,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.6,09:45,14:30,78,38.5,1353.62,351.2,
13,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.4,09:45,15:30,78,28.2,1345.86,348.6,
14,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.7,0.6,10:00,15:00,78,38.5,1331.7,343.9,
15,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.7,0.5,10:00,15:00,78,33.3,1328.29,342.8,
16,"QQQ,NVDA",5,15,2.0,50.0,0.7,0.6,09:45,14:30,78,39.7,1318.59,339.5,
17,"QQQ,NVDA",5,15,2.0,50.0,0.8,0.6,09:45,15:00,78,35.9,1317.75,339.2,
18,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.5,09:45,15:00,78,32.1,1315.56,338.5,
19,"QQQ,NVDA",5,15,2.0,50.0,0.8,0.6,09:45,14:30,78,41.0,1312.3,337.4,
20,"QQQ,NVDA",5,15,2.0,50.0,0.9,0.6,09:45,14:30,78,41.0,1311.58,337.2,
21,"QQQ,NVDA",9,20,2.0,50.0,0.9,0.4,10:00,14:30,78,35.9,1308.99,336.3,
22,"QQQ,NVDA",9,20,5.0,50.0,0.7,0.6,10:00,14:30,78,29.5,1294.69,331.6,
23,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.7,0.5,10:00,15:30,78,30.8,1289.78,329.9,
24,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.8,0.6,10:00,15:00,78,34.6,1281.2,327.1,
25,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.9,0.5,10:00,15:30,78,29.5,1278.87,326.3,
26,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.6,0.6,10:00,15:00,78,29.5,1268.12,322.7,
27,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.9,0.6,10:00,15:00,78,30.8,1267.71,322.6,
28,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.7,0.6,10:00,15:00,78,30.8,1260.08,320.0,
29,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.4,09:45,15:00,78,28.2,1257.53,319.2,
30,"QQQ,NVDA",9,20,5.0,50.0,0.7,0.5,10:00,14:30,78,30.8,1256.58,318.9,
31,"QQQ,NVDA",5,15,5.0,50.0,0.6,0.5,09:45,15:00,78,24.4,1255.88,318.6,
32,"QQQ,NVDA",9,20,2.0,50.0,0.8,0.4,10:00,14:30,78,35.9,1255.32,318.4,
33,"QQQ,NVDA",5,26,3.0,50.0,0.8,0.6,09:45,14:30,78,33.3,1251.57,317.2,
34,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.8,0.5,10:00,15:00,78,32.1,1249.86,316.6,
35,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.6,0.6,10:00,15:00,78,37.2,1248.73,316.2,
36,"QQQ,NVDA",5,26,3.0,50.0,0.9,0.6,09:45,14:30,78,33.3,1248.61,316.2,
37,"QQQ,NVDA",5,26,2.0,50.0,0.9,0.4,10:00,14:30,78,33.3,1246.62,315.5,
38,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.8,0.5,10:00,15:30,78,29.5,1246.24,315.4,
39,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.7,0.6,10:00,15:30,78,33.3,1244.61,314.9,
40,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.8,0.6,10:00,15:00,78,30.8,1242.82,314.3,
41,"QQQ,NVDA",5,26,2.0,50.0,0.7,0.4,09:45,15:00,78,30.8,1241.03,313.7,
42,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.9,0.6,09:45,15:00,78,28.2,1235.27,311.8,
43,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.5,09:45,14:30,78,34.6,1234.65,311.5,
44,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.8,0.6,10:00,15:30,78,30.8,1230.53,310.2,
45,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.9,0.6,10:00,15:00,78,34.6,1229.87,310.0,
46,"QQQ,NVDA",5,15,3.0,50.0,0.9,0.5,09:45,14:30,78,32.1,1227.46,309.2,
47,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.9,0.5,10:00,15:00,78,32.1,1227.57,309.2,
48,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.6,0.5,10:00,15:30,78,29.5,1227.15,309.0,
49,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.7,0.4,10:00,15:30,78,28.2,1226.79,308.9,
50,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.7,0.5,09:45,15:30,78,29.5,1226.46,308.8,
51,"QQQ,NVDA",9,20,3.0,50.0,0.9,0.6,10:00,14:30,78,35.9,1223.91,308.0,
52,"QQQ,NVDA",5,26,5.0,30.0,0.6,0.6,10:00,14:30,78,24.4,1222.94,307.6,
53,"QQQ,NVDA",9,20,3.0,50.0,0.8,0.6,10:00,14:30,78,35.9,1221.5,307.2,
54,"QQQ,NVDA",5,15,3.0,50.0,0.7,0.5,09:45,14:30,78,32.1,1216.22,305.4,
55,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.8,0.6,09:45,15:00,78,28.2,1215.2,305.1,
56,"QQQ,NVDA",9,20,2.0,50.0,0.9,0.6,10:00,14:30,78,41.0,1211.17,303.7,
57,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.9,0.5,10:00,15:00,78,28.2,1210.08,303.4,
58,"QQQ,NVDA",5,26,2.0,50.0,0.9,0.5,09:45,14:30,78,37.2,1210.07,303.4,
59,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.6,0.4,10:00,15:00,78,29.5,1208.9,303.0,
60,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.6,0.5,10:00,15:00,78,32.1,1207.33,302.4,
61,"QQQ,NVDA",5,15,5.0,50.0,0.9,0.5,09:45,15:00,78,23.1,1205.33,301.8,
62,"QQQ,NVDA",12,20,5.0,50.0,0.8,0.4,10:00,14:30,78,25.6,1199.55,299.9,
63,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.7,0.6,09:45,15:30,78,30.8,1196.28,298.8,
64,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.6,0.6,10:00,15:30,78,30.8,1196.26,298.8,
65,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.8,0.5,10:00,15:00,78,28.2,1195.96,298.7,
66,"QQQ,NVDA",9,15,2.0,50.0,0.9,0.6,10:00,15:00,78,35.9,1194.89,298.3,
67,"QQQ,NVDA",9,15,2.0,50.0,0.8,0.6,10:00,15:00,78,35.9,1194.74,298.2,
68,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.6,0.5,10:00,15:00,78,32.1,1194.29,298.1,
69,"QQQ,NVDA",9,20,5.0,50.0,0.8,0.5,10:00,14:30,78,30.8,1193.07,297.7,
70,"QQQ,NVDA",9,20,3.0,50.0,0.9,0.5,10:00,14:30,78,32.1,1192.45,297.5,
71,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.7,0.6,09:45,14:30,78,37.2,1192.41,297.5,
72,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.9,0.5,10:00,15:30,78,28.2,1190.74,296.9,
73,"QQQ,NVDA",5,15,2.0,50.0,0.9,0.6,09:45,15:00,78,34.6,1190.67,296.9,
74,"QQQ,NVDA",9,20,3.0,50.0,0.8,0.5,10:00,14:30,78,32.1,1190.04,296.7,
75,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.9,0.5,10:00,15:30,78,29.5,1190.07,296.7,
76,"QQQ,NVDA",5,26,2.0,50.0,0.8,0.4,10:00,14:30,78,33.3,1189.47,296.5,
77,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.8,0.6,09:45,15:00,78,32.1,1188.92,296.3,
78,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.5,10:00,15:30,78,28.2,1188.38,296.1,
79,"QQQ,NVDA",9,20,5.0,50.0,0.6,0.6,10:00,14:30,78,29.5,1182.25,294.1,
80,"QQQ,NVDA",5,15,5.0,50.0,0.8,0.5,09:45,15:00,78,23.1,1181.59,293.9,
81,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.6,0.5,10:00,15:30,78,26.9,1181.06,293.7,
82,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.7,0.6,09:45,15:00,78,28.2,1180.81,293.6,
83,"QQQ,NVDA",5,15,3.0,50.0,0.8,0.5,09:45,14:30,78,32.1,1179.48,293.2,
84,"QQQ,NVDA",5,26,3.0,50.0,0.9,0.6,10:00,14:30,78,33.3,1178.46,292.8,
85,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.7,0.4,10:00,15:00,78,29.5,1178.25,292.7,
86,"QQQ,NVDA",9,20,5.0,50.0,0.9,0.5,10:00,14:30,78,30.8,1176.99,292.3,
87,"SPY,QQQ,NVDA",9,20,2.0,50.0,0.6,0.4,10:00,15:00,78,29.5,1176.5,292.2,
88,"QQQ,NVDA",5,26,2.0,50.0,0.7,0.4,10:00,14:30,78,33.3,1174.78,291.6,
89,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.7,0.6,10:00,15:30,78,30.8,1173.24,291.1,
90,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.7,0.5,10:00,15:30,78,30.8,1172.64,290.9,
91,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.8,0.5,10:00,15:30,78,28.2,1172.0,290.7,
92,"SPY,QQQ,NVDA",5,30,3.0,50.0,0.8,0.6,10:00,14:30,78,30.8,1171.64,290.5,
93,"QQQ,NVDA",9,15,2.0,50.0,0.7,0.6,10:00,15:00,78,35.9,1168.52,289.5,
94,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.9,0.6,10:00,15:30,78,29.5,1166.15,288.7,
95,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.9,0.5,09:45,15:00,78,24.4,1165.85,288.6,
96,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.9,0.6,09:45,15:00,78,32.1,1165.65,288.5,
97,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.9,0.6,10:00,15:30,78,23.1,1165.2,288.4,
98,"QQQ,NVDA",5,15,3.0,50.0,0.9,0.6,09:45,14:30,78,33.3,1164.72,288.2,
99,"QQQ,NVDA",9,20,2.0,50.0,0.6,0.4,10:00,14:30,78,34.6,1163.65,287.9,
100,"QQQ,NVDA",9,20,2.0,50.0,0.9,0.5,10:00,14:30,78,37.2,1163.07,287.7,
101,"QQQ,NVDA",9,20,5.0,50.0,0.6,0.5,10:00,14:30,78,30.8,1163.2,287.7,
102,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.7,0.5,10:00,15:30,78,28.2,1159.77,286.6,
103,"QQQ,NVDA",5,26,2.0,50.0,0.7,0.4,10:00,15:00,78,29.5,1157.97,286.0,
104,"QQQ,NVDA",5,26,3.0,50.0,0.7,0.6,09:45,14:30,78,33.3,1155.66,285.2,
105,"QQQ,NVDA",5,26,2.0,50.0,0.7,0.5,09:45,15:00,78,33.3,1154.55,284.8,
106,"QQQ,NVDA",5,15,3.0,50.0,0.7,0.6,09:45,14:30,78,33.3,1153.48,284.5,
107,"QQQ,NVDA",9,20,2.0,50.0,0.8,0.6,10:00,14:30,78,41.0,1153.1,284.4,
108,"QQQ,NVDA",5,15,5.0,50.0,0.6,0.5,09:45,14:30,78,28.2,1153.11,284.4,
109,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.7,0.5,10:00,15:00,78,32.1,1150.82,283.6,
110,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.6,0.6,09:45,15:00,78,28.2,1150.27,283.4,
111,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.7,0.5,10:00,15:00,78,28.2,1149.51,283.2,
112,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.6,10:00,15:30,78,29.5,1149.27,283.1,
113,"QQQ,NVDA",5,26,2.0,50.0,0.8,0.5,09:45,14:30,78,37.2,1148.63,282.9,
114,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.7,0.4,09:45,15:30,78,25.6,1148.54,282.8,
115,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.9,0.6,10:00,14:30,78,39.7,1146.15,282.1,
116,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.8,0.5,09:45,15:00,78,24.4,1145.78,281.9,
117,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.9,0.6,10:00,15:30,78,24.4,1145.49,281.8,
118,"QQQ,NVDA",5,15,2.0,50.0,0.8,0.4,09:45,15:00,78,28.2,1145.39,281.8,
119,"QQQ,NVDA",9,20,2.0,50.0,0.7,0.4,10:00,14:30,78,34.6,1144.41,281.5,
120,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.6,0.5,10:00,15:00,78,26.9,1142.56,280.9,
121,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.9,0.5,10:00,15:00,78,30.8,1141.23,280.4,
122,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.8,0.6,10:00,15:30,78,32.1,1139.88,280.0,
123,"QQQ,NVDA",5,15,3.0,50.0,0.8,0.6,09:45,15:00,78,30.8,1138.87,279.6,
124,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.9,0.6,09:45,14:30,78,32.1,1138.3,279.4,
125,"QQQ,NVDA",5,15,3.0,50.0,0.7,0.6,09:45,15:00,78,30.8,1134.88,278.3,
126,"QQQ,NVDA",5,15,2.0,50.0,0.9,0.4,09:45,15:00,78,28.2,1133.23,277.7,
127,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.8,0.5,10:00,15:00,78,30.8,1132.32,277.4,
128,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.9,0.6,09:45,14:30,78,37.2,1131.56,277.2,
129,"QQQ,NVDA",5,15,2.0,50.0,0.6,0.6,09:45,15:00,78,37.2,1131.66,277.2,
130,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.9,0.6,10:00,15:30,78,30.8,1131.23,277.1,
131,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.9,0.6,10:00,15:00,78,34.6,1130.79,276.9,
132,"QQQ,NVDA",5,26,5.0,50.0,0.6,0.6,10:00,14:30,78,29.5,1130.23,276.7,
133,"SPY,QQQ,NVDA",5,30,3.0,50.0,0.9,0.6,10:00,14:30,78,30.8,1128.92,276.3,
134,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.4,09:45,14:30,78,28.2,1127.4,275.8,
135,"QQQ,NVDA",5,15,2.0,50.0,0.7,0.6,09:45,15:30,78,30.8,1127.3,275.8,
136,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.6,0.6,09:45,15:30,78,25.6,1125.0,275.0,
137,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.8,0.5,10:00,15:00,78,29.5,1123.46,274.5,
138,"QQQ,NVDA",9,20,5.0,50.0,0.8,0.6,10:00,14:30,78,29.5,1123.57,274.5,
139,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.7,0.6,10:00,14:30,78,39.7,1122.95,274.3,
140,"QQQ,NVDA",5,15,2.0,50.0,0.6,0.6,09:45,14:30,78,39.7,1122.87,274.3,
141,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.6,0.4,10:00,15:30,78,25.6,1122.58,274.2,
142,"QQQ,NVDA",9,20,3.0,50.0,0.7,0.6,10:00,14:30,78,35.9,1122.09,274.0,
143,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.8,0.6,10:00,15:00,78,34.6,1121.88,274.0,
144,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.7,0.6,09:45,15:00,78,32.1,1119.86,273.3,
145,"QQQ,NVDA",5,26,3.0,50.0,0.8,0.6,10:00,14:30,78,33.3,1119.46,273.2,
146,"QQQ,NVDA",9,20,2.0,30.0,0.8,0.5,10:00,14:30,78,33.3,1119.53,273.2,
147,"QQQ,NVDA",5,30,2.0,50.0,0.8,0.6,10:00,15:00,78,34.6,1119.43,273.1,
148,"QQQ,NVDA",5,15,3.0,50.0,0.7,0.5,09:45,15:00,78,24.4,1118.31,272.8,
149,"QQQ,NVDA",9,15,2.0,50.0,0.9,0.6,09:45,14:30,78,39.7,1117.76,272.6,
150,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.9,0.6,10:00,15:00,78,26.9,1117.36,272.5,
151,"QQQ,NVDA",5,15,3.0,50.0,0.8,0.6,09:45,14:30,78,33.3,1116.74,272.2,
152,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.9,0.5,10:00,15:30,78,26.9,1114.64,271.5,
153,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.7,0.6,10:00,15:30,78,29.5,1113.56,271.2,
154,"QQQ,NVDA",5,15,5.0,50.0,0.7,0.5,09:45,14:30,78,28.2,1113.39,271.1,
155,"QQQ,NVDA",9,15,5.0,50.0,0.6,0.5,10:00,14:30,78,26.9,1113.07,271.0,
156,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.9,0.5,09:45,15:30,78,28.2,1112.64,270.9,
157,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.7,0.5,09:45,15:00,78,24.4,1111.4,270.5,
158,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.9,0.5,10:00,15:00,78,29.5,1110.43,270.1,
159,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.8,0.5,10:00,15:30,78,29.5,1109.92,270.0,
160,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.9,0.4,10:00,15:00,78,28.2,1110.03,270.0,
161,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.7,0.5,10:00,15:00,78,29.5,1109.65,269.9,
162,"QQQ,NVDA",5,20,2.0,50.0,0.8,0.6,09:45,15:00,78,33.3,1108.85,269.6,
163,"QQQ,NVDA",5,15,3.0,50.0,0.9,0.6,09:45,15:00,78,30.8,1108.49,269.5,
164,"QQQ,NVDA",12,15,2.0,50.0,0.6,0.4,10:00,15:00,78,28.2,1108.49,269.5,
165,"SPY,QQQ,NVDA",12,30,3.0,50.0,0.9,0.6,10:00,14:30,78,34.6,1108.07,269.4,
166,"SPY,QQQ,NVDA",9,15,1.0,50.0,0.9,0.6,10:00,15:00,78,52.6,1107.67,269.2,
167,"QQQ,NVDA",9,20,5.0,50.0,0.9,0.6,10:00,14:30,78,29.5,1107.49,269.2,
168,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.7,0.6,10:00,15:00,78,34.6,1106.17,268.7,
169,"QQQ,NVDA",9,15,2.0,50.0,0.9,0.6,10:00,14:30,78,41.0,1105.86,268.6,
170,"QQQ,NVDA",5,15,5.0,50.0,0.8,0.5,09:45,14:30,78,28.2,1103.75,267.9,
171,"SPY,QQQ,NVDA",5,30,3.0,50.0,0.7,0.6,10:00,14:30,78,30.8,1103.25,267.8,
172,"SPY,QQQ,NVDA",12,26,3.0,50.0,0.9,0.6,10:00,14:30,78,33.3,1103.14,267.7,
173,"QQQ,NVDA",12,20,5.0,50.0,0.7,0.4,10:00,14:30,78,25.6,1102.84,267.6,
174,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.6,0.4,10:00,15:00,78,28.2,1102.26,267.4,
175,"SPY,QQQ,NVDA",9,15,5.0,50.0,0.7,0.5,10:00,15:00,78,25.6,1102.14,267.4,
176,"QQQ,NVDA",5,26,2.0,50.0,0.9,0.4,09:45,14:30,78,33.3,1101.68,267.2,
177,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.6,0.6,10:00,14:30,78,38.5,1101.03,267.0,
178,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.6,0.6,10:00,15:30,78,23.1,1100.1,266.7,
179,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.8,0.6,10:00,15:00,78,30.8,1099.99,266.7,
180,"QQQ,NVDA",5,15,2.0,50.0,0.7,0.6,09:45,15:00,78,34.6,1099.98,266.7,
181,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.8,0.4,10:00,15:00,78,28.2,1099.65,266.6,
182,"QQQ,NVDA",5,15,5.0,50.0,0.7,0.5,09:45,15:00,78,23.1,1099.5,266.5,
183,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.8,0.6,10:00,14:30,78,39.7,1097.81,265.9,
184,"QQQ,NVDA",5,30,2.0,50.0,0.9,0.6,10:00,14:30,78,39.7,1096.81,265.6,
185,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.8,0.5,09:45,15:30,78,28.2,1095.78,265.3,
186,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.9,0.4,10:00,15:30,78,25.6,1095.37,265.1,
187,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.8,0.6,09:45,14:30,78,37.2,1094.78,264.9,
188,"QQQ,NVDA",9,20,2.0,50.0,0.8,0.5,10:00,14:30,78,37.2,1094.71,264.9,
189,"QQQ,NVDA",5,20,2.0,50.0,0.8,0.6,09:45,14:30,78,41.0,1094.47,264.8,
190,"QQQ,NVDA",5,30,3.0,50.0,0.8,0.6,09:45,14:30,78,30.8,1093.67,264.6,
191,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.9,0.6,10:00,14:30,78,39.7,1093.45,264.5,
192,"QQQ,NVDA",5,26,5.0,50.0,0.7,0.6,10:00,14:30,78,29.5,1093.04,264.3,
193,"QQQ,NVDA",5,26,2.0,50.0,0.7,0.4,09:45,14:30,78,33.3,1091.76,263.9,
194,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.6,0.5,09:45,15:00,78,24.4,1091.43,263.8,
195,"QQQ,NVDA",5,30,3.0,50.0,0.9,0.6,09:45,14:30,78,30.8,1090.7,263.6,
196,"QQQ,NVDA",9,20,3.0,50.0,0.7,0.5,10:00,14:30,78,32.1,1090.63,263.5,
197,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.6,0.4,10:00,15:30,78,26.9,1090.15,263.4,
198,"QQQ,NVDA",5,20,2.0,50.0,0.9,0.6,09:45,14:30,78,41.0,1090.27,263.4,
199,"QQQ,NVDA",12,26,1.0,50.0,0.9,0.5,10:00,15:00,78,52.6,1090.1,263.4,
200,"SPY,QQQ,NVDA",12,26,2.0,50.0,0.6,0.6,10:00,14:30,78,41.0,1090.31,263.4,
201,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.8,0.6,09:45,14:30,78,32.1,1089.22,263.1,
202,"QQQ,NVDA",12,20,5.0,30.0,0.7,0.4,10:00,14:30,78,23.1,1088.61,262.9,
203,"QQQ,NVDA",5,15,5.0,50.0,0.9,0.5,09:45,14:30,78,28.2,1087.67,262.6,
204,"QQQ,NVDA",12,26,1.0,50.0,0.8,0.5,10:00,15:00,78,52.6,1086.96,262.3,
205,"QQQ,NVDA",5,15,5.0,50.0,0.6,0.6,09:45,14:30,78,30.8,1086.31,262.1,
206,"QQQ,NVDA",9,15,5.0,50.0,0.7,0.5,10:00,14:30,78,25.6,1085.8,261.9,
207,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.6,0.6,09:45,14:30,78,32.1,1084.02,261.3,
208,"QQQ,NVDA",5,26,5.0,50.0,0.8,0.6,10:00,14:30,78,29.5,1083.41,261.1,
209,"SPY,QQQ,NVDA",9,15,1.0,50.0,0.8,0.6,10:00,15:30,78,50.0,1083.28,261.1,
210,"QQQ,NVDA",5,26,2.0,50.0,0.9,0.6,09:45,14:30,78,38.5,1082.52,260.8,
211,"QQQ,NVDA",5,15,2.0,50.0,0.9,0.4,09:45,14:30,78,30.8,1080.52,260.2,
212,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.8,0.6,09:45,15:30,78,29.5,1079.55,259.9,
213,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.7,0.4,10:00,15:00,78,28.2,1079.27,259.8,
214,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.7,0.4,10:00,15:30,78,24.4,1078.21,259.4,
215,"QQQ,NVDA",12,20,5.0,50.0,0.9,0.4,10:00,14:30,78,25.6,1077.12,259.0,
216,"QQQ,NVDA",12,20,5.0,30.0,0.6,0.4,10:00,14:30,78,23.1,1076.56,258.9,
217,"SPY,QQQ,NVDA",12,30,3.0,50.0,0.7,0.6,10:00,14:30,78,34.6,1075.88,258.6,
218,"QQQ,NVDA",5,26,2.0,50.0,0.7,0.5,10:00,15:00,78,32.1,1075.49,258.5,
219,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.8,0.6,10:00,15:30,78,23.1,1075.21,258.4,
220,"SPY,QQQ,NVDA",9,26,2.0,50.0,0.9,0.6,10:00,14:30,78,39.7,1075.16,258.4,
221,"QQQ,NVDA",9,20,2.0,30.0,0.9,0.5,10:00,14:30,78,33.3,1074.79,258.3,
222,"QQQ,NVDA",9,20,2.0,50.0,0.6,0.6,10:00,14:30,78,39.7,1074.74,258.2,
223,"QQQ,NVDA",5,15,2.0,50.0,0.9,0.5,09:45,14:30,78,35.9,1074.57,258.2,
224,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.8,0.6,10:00,15:00,78,26.9,1073.68,257.9,
225,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.9,0.6,09:45,15:30,78,29.5,1071.41,257.1,
226,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.8,0.4,10:00,15:30,78,25.6,1071.06,257.0,
227,"QQQ,NVDA",5,30,5.0,50.0,0.7,0.6,10:00,14:30,78,28.2,1070.05,256.7,
228,"QQQ,NVDA",12,15,2.0,50.0,0.6,0.5,10:00,15:00,78,33.3,1068.25,256.1,
229,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.7,0.6,10:00,15:00,78,32.1,1068.25,256.1,
230,"QQQ,NVDA",5,26,5.0,50.0,0.9,0.6,10:00,14:30,78,29.5,1067.33,255.8,
231,"SPY,QQQ,NVDA",9,15,1.0,50.0,0.8,0.6,10:00,15:00,78,52.6,1066.36,255.5,
232,"QQQ,NVDA",5,26,2.0,30.0,0.9,0.5,10:00,14:30,78,30.8,1065.86,255.3,
233,"SPY,QQQ,NVDA",9,15,5.0,50.0,0.6,0.5,10:00,15:00,78,25.6,1065.52,255.2,
234,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.9,0.6,10:00,15:00,78,30.8,1065.05,255.0,
235,"QQQ,NVDA",5,30,2.0,50.0,0.9,0.6,10:00,15:00,78,34.6,1064.59,254.9,
